PSR,PSI,Wishful Identification,Loneliness,Addiction,Sense of Community,Celebrity Credibility
4.0,2.8333333333333335,3.0,2.5,1.625,2.090909090909091,4.153846153846154
4.0,5.0,4.0,4.0,2.125,3.909090909090909,4.0
4.555555555555555,4.5,4.333333333333333,3.875,3.625,3.909090909090909,4.538461538461538
5.0,5.0,5.0,5.0,5.0,5.0,5.0
5.0,5.0,5.0,5.0,3.0,5.0,4.538461538461538
4.111111111111111,5.0,2.3333333333333335,3.25,2.75,3.909090909090909,4.846153846153846
4.333333333333333,4.166666666666667,4.666666666666667,2.875,2.5,3.272727272727273,3.6153846153846154
5.0,5.0,5.0,3.5,2.0,5.0,5.0
5.0,5.0,4.0,5.0,3.25,5.0,5.0
5.0,4.0,4.666666666666667,3.375,2.5,4.818181818181818,4.923076923076923
5.0,5.0,4.666666666666667,3.125,1.75,4.363636363636363,5.0
3.0,3.0,3.0,3.0,3.0,3.0,1.8461538461538463
3.888888888888889,4.5,3.6666666666666665,3.0,3.5,3.3636363636363638,4.846153846153846
3.6666666666666665,2.0,4.0,2.0,1.875,2.727272727272727,4.3076923076923075
4.444444444444445,4.0,3.3333333333333335,3.125,4.125,3.4545454545454546,3.769230769230769
3.6666666666666665,1.0,4.0,2.75,2.5,4.545454545454546,5.0
3.3333333333333335,4.833333333333333,4.333333333333333,3.25,1.625,2.3636363636363638,5.0
4.666666666666667,4.166666666666667,4.666666666666667,2.75,2.625,3.4545454545454546,4.615384615384615
5.0,4.333333333333333,4.0,3.625,4.0,3.272727272727273,5.0
5.0,5.0,5.0,5.0,5.0,4.909090909090909,5.0
5.0,5.0,5.0,5.0,5.0,5.0,5.0
1.0,1.0,1.0,1.125,1.0,1.0,1.0
4.666666666666667,4.166666666666667,5.0,3.5,4.875,4.545454545454546,4.846153846153846
5.0,3.6666666666666665,4.666666666666667,4.875,4.25,4.454545454545454,5.0
5.0,4.666666666666667,4.333333333333333,2.875,3.25,5.0,5.0
5.0,3.6666666666666665,5.0,3.5,2.875,3.8181818181818183,5.0
3.6666666666666665,3.1666666666666665,3.0,3.5,2.25,2.6363636363636362,3.5384615384615383
3.2222222222222223,2.5,3.6666666666666665,3.25,1.625,3.090909090909091,3.230769230769231
5.0,5.0,5.0,3.0,2.125,4.636363636363637,5.0
4.777777777777778,4.166666666666667,3.6666666666666665,2.5,1.5,3.727272727272727,3.4615384615384617
3.2222222222222223,3.8333333333333335,2.6666666666666665,3.0,3.125,2.3636363636363638,4.153846153846154
4.333333333333333,4.833333333333333,1.3333333333333333,2.625,2.125,2.909090909090909,3.8461538461538463
3.3333333333333335,1.6666666666666667,3.0,3.25,1.5,2.1818181818181817,3.5384615384615383
3.6666666666666665,4.166666666666667,5.0,3.0,2.25,2.3636363636363638,4.6923076923076925
2.7777777777777777,3.6666666666666665,1.0,2.5,3.5,1.0,3.769230769230769
3.2222222222222223,3.3333333333333335,2.6666666666666665,2.625,3.0,2.5454545454545454,4.461538461538462
3.3333333333333335,3.0,2.6666666666666665,2.25,2.125,2.1818181818181817,3.6153846153846154
5.0,2.0,5.0,5.0,5.0,5.0,5.0
5.0,4.333333333333333,5.0,2.875,2.25,3.5454545454545454,5.0
5.0,5.0,5.0,3.875,3.375,4.0,4.538461538461538
3.7777777777777777,5.0,3.3333333333333335,4.25,2.375,3.8181818181818183,5.0
5.0,5.0,5.0,3.25,3.375,3.272727272727273,5.0
5.0,5.0,5.0,3.5,5.0,4.909090909090909,4.923076923076923
5.0,4.5,5.0,5.0,5.0,5.0,4.923076923076923
3.0,3.0,3.0,3.0,3.25,3.0,3.5384615384615383
5.0,3.8333333333333335,3.0,3.5,3.5,3.727272727272727,4.538461538461538
4.0,4.0,4.0,4.0,3.875,3.8181818181818183,4.0
3.4444444444444446,1.0,3.3333333333333335,1.875,1.5,1.8181818181818181,4.076923076923077
2.7777777777777777,1.0,2.0,2.375,1.0,1.4545454545454546,3.6923076923076925
3.111111111111111,3.5,3.3333333333333335,2.75,1.875,2.8181818181818183,3.5384615384615383
4.888888888888889,4.166666666666667,3.6666666666666665,2.75,2.5,3.1818181818181817,5.0
3.2222222222222223,3.0,3.0,2.5,2.875,2.909090909090909,3.4615384615384617
