,Timestamp,Gender,Age,"On a weekly basis, how often do you watch video game live streams?",What live streaming platforms do you usually watch video game live streams on? Please check all that apply.,Who would you say is your favorite video game live streamer? You may list more than one.,"While watching my favorite live streamer, I had the feeling that the streamer I'm watching... [Was aware of me.]","While watching my favorite live streamer, I had the feeling that the streamer I'm watching... [Knew I was there.]","While watching my favorite live streamer, I had the feeling that the streamer I'm watching... [Knew I was aware of them.]","While watching my favorite live streamer, I had the feeling that the streamer I'm watching... [Knew I paid attention to them.]","While watching my favorite live streamer, I had the feeling that the streamer I'm watching... [Knew that I reacted to them.]","While watching my favorite live streamer, I had the feeling that the streamer I'm watching... [Reacted to what I said or did.]","[My favorite streamer makes me feel comfortable, as if I am with a friend.]","[I see my favorite streamer as a natural, down-to-earth person.]",[I look forward to watching my favorite streamer the next time they stream.],"[If my favorite live streamer appeared on another streamer's live stream, I would also watch that live stream.]",[My favorite streamer seems to understand the kind of things I want to know.],"[If I saw a story or article about my favorite streamer online, I would read it.]",[I miss seeing my favorite streamer when he or she is ill or on a vacation.],[I would like to meet my favorite streamer in person.],[I feel sorry for my favorite streamer when he or she makes a mistake.],[I'd like to do the things my favorite streamer does while streaming.],[My favorite streamer is the sort of person I want to be like myself.],[I wish I could be more like my favorite streamer.],"[Whenever I have time, I log on to my live stream platform account.]","[Frequently, I regret I consume too much time watching live streams.]","[If I could not watch live streams, I would be depressed.]",[I have difficulties in focusing on my study or work due to watching live streams.],[I lose sleep over spending more time watching live streams.],[Watching live streams interferes with doing social activities.],[I feel anxious if I cannot watch live streams.],[I have attempted to spend less time watching live streams but have not succeeded.],[I get important needs of mine met because I am a part of my favorite streamer's fanbase.],[My favorite streamer's fanbase and I value the same things.],[Being a member of my favorite streamer's fanbase makes me feel good.],"[When I have a problem, I can talk about it with members of my favorite streamer's fanbase.]","[People in the fanbase have similar needs, priorities, and goals.]",[I can trust people in this community.],[I put a lot of time and effort into being part of my favorite streamer's fanbase.],[Being a member of my favorite streamer's fanbase is a part of my identity.],[Fitting into my favorite streamer's fanbase is important to me.],[It is very important for me to be a part of my favorite streamer's fanbase.],[I expect to be a part of my favorite streamer's fanbase for a long time.],[I feel in tune with my favorite streamer's fanbase while watching my favorite streamer.],[I do not feel alone while watching my favorite streamer.],[I feel part of a group of friends while watching my favorite streamer.],[My interests and ideas are not shared by those in my favorite streamer's fanbase.],[There are people in my favorite streamer's fanbase I feel close to.],[I feel left out while watching my favorite streamer.],[I feel isolated from others in my favorite streamer's fanbase.],[I am unhappy being so withdrawn from others in my favorite streamer's fanbase.],[Attractive],[Classy],[Handsome/Beautiful],[Sexy],[Dependable],[Honest],[Reliable],[Sincere],[Trustworthy],[Expert],[Experienced],[Knowledgeable],[Skilled],Platforms,Streamers
count,52,52,52,52,52,52,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52,52
unique,52,2,4,4,21,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,46
top,3/6/2024 19:41,Male,18 to 24,More than three times a week,Bola.TV,Renniyyya Gaming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Bola.TV'],['Renniyyya Gaming']
freq,1,34,21,30,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,4
mean,,,,,,,3.826923076923077,3.6923076923076925,3.8653846153846154,3.8076923076923075,3.923076923076923,3.8653846153846154,4.25,4.384615384615385,4.211538461538462,4.269230769230769,4.0576923076923075,4.230769230769231,3.8461538461538463,4.365384615384615,3.9615384615384617,4.019230769230769,3.7115384615384617,3.8076923076923075,3.980769230769231,3.0384615384615383,2.7115384615384617,2.480769230769231,2.75,2.9615384615384617,2.576923076923077,2.8076923076923075,3.4423076923076925,3.8846153846153846,3.8076923076923075,3.2884615384615383,3.576923076923077,3.6346153846153846,3.4423076923076925,3.1923076923076925,3.4615384615384617,3.4615384615384617,3.5384615384615383,3.7884615384615383,3.980769230769231,4.0576923076923075,3.3846153846153846,3.5,2.6538461538461537,2.75,2.480769230769231,4.230769230769231,4.076923076923077,4.173076923076923,3.8076923076923075,4.3076923076923075,4.538461538461538,4.403846153846154,4.365384615384615,4.346153846153846,4.480769230769231,4.538461538461538,4.519230769230769,4.5576923076923075,,
std,,,,,,,1.3094101927166852,1.3509395646699554,1.3288480364858872,1.3581772897997904,1.2962412303657642,1.3140096718814092,1.1003564484863484,1.0319189463884921,1.035384525738512,0.9924298684242494,1.1099101100939155,0.9623375261979595,1.3043609416351551,1.0851736312474383,1.1540472424070822,1.0754002376750498,1.2885093753079215,1.2839653886126974,1.2444446688931778,1.4546954193911477,1.432624609938524,1.5274018002565166,1.453528499218098,1.4136801987628098,1.4864901923679257,1.3867504905630728,1.3197364790204578,1.0223741334649856,1.221353500857682,1.362473794841192,1.1435437497937313,1.0484132951301846,1.3635803727249982,1.3725382460253752,1.3785690003361395,1.3352173717654565,1.3204505835470495,1.1433788671240264,1.0934813018365075,0.9983017253524252,1.0507484942601846,1.2602520756252087,1.4264258828963674,1.439975489987488,1.488391480963029,1.1134716002327527,1.2962412303657644,1.042642830694284,1.3581772897997904,0.9607689228305227,0.8736118055103185,1.014785119427935,1.0103163192073619,1.0825644097962328,0.8515357433319789,0.8508712596230341,0.9391357022656444,0.8497626321038483,,
min,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
25%,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.75,3.75,3.0,4.0,3.0,4.0,3.0,3.75,3.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.75,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.75,3.75,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,
50%,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,3.5,4.0,3.0,3.0,4.0,3.5,4.0,4.0,4.0,4.0,3.0,3.5,3.0,3.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
75%,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,4.25,5.0,4.25,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.25,4.0,3.25,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,
